timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,external
1726750694530, 2942284, 143826, 207699968, 125530112, 121650992, 5533370
1726750695536, 2942685, 143846, 207699968, 125530112, 121657632, 5533381
1726750696541, 2943240, 143873, 207699968, 125530112, 121664272, 5533392
1726750697545, 2943760, 143898, 207699968, 125530112, 121670936, 5533403
1726750698550, 2944258, 143923, 207699968, 125530112, 121677576, 5533414
1726750699555, 2945576, 143925, 207699968, 125530112, 121684216, 5533425
1726750700560, 2945980, 143925, 207699968, 125530112, 121690856, 5533436
1726750701565, 2946456, 143930, 207699968, 125530112, 121697472, 5533447
1726750702571, 2946973, 143955, 207699968, 125530112, 121704112, 5533458
1726750703576, 2948746, 143991, 207699968, 125530112, 121710752, 5533469
1726750704580, 2949255, 144016, 207699968, 125530112, 121717392, 5533480
1726750705586, 2950007, 144053, 207699968, 125530112, 121724032, 5533491
1726750706591, 2950994, 144061, 207699968, 125530112, 121730672, 5533502
1726750707596, 2951622, 144081, 207699968, 125530112, 121737312, 5533513
1726750708601, 2952023, 144101, 207699968, 125530112, 121743952, 5533524
1726750709606, 2952431, 144121, 207699968, 125530112, 121750592, 5533535
1726750710610, 2953060, 144123, 207699968, 125530112, 121757232, 5533546
1726750711615, 2953619, 144129, 207699968, 125530112, 121763872, 5533557
1726750712620, 2954113, 144153, 207699968, 125530112, 121770512, 5533568
1726750713626, 2954625, 144178, 207699968, 125530112, 121777152, 5533579
1726750714630, 2955268, 144209, 207699968, 125530112, 121783792, 5533590
1726750715637, 2955847, 144237, 207699968, 125530112, 121790432, 5533601
1726750716641, 2956647, 144237, 207699968, 125530112, 121797072, 5533612
1726750717646, 2957436, 144237, 207699968, 125530112, 121803688, 5533623
1726750718650, 2958265, 144237, 207699968, 125530112, 121810304, 5533634
1726750719655, 2958837, 144237, 207699968, 125530112, 121816920, 5533645
1726750720660, 2959292, 144255, 207699968, 125530112, 121823536, 5533656
1726750721666, 2959754, 144277, 207699968, 125530112, 121830200, 5533667
1726750722670, 2961187, 144280, 207699968, 125530112, 121836840, 5533678
1726750723675, 2961602, 144280, 207699968, 125530112, 121843480, 5533689
1726750724679, 2962019, 144287, 207699968, 125530112, 121850096, 5533700
1726750725684, 2962595, 144315, 207699968, 125530112, 121856736, 5533711
1726750726690, 2963042, 144337, 207699968, 125530112, 121863376, 5533722
1726750727694, 2963498, 144359, 207699968, 125530112, 121870016, 5533733
1726750728699, 2964164, 144392, 207699968, 125530112, 121876656, 5533744
1726750729704, 2964778, 144422, 207699968, 125530112, 121883296, 5533755
1726750730710, 2965585, 144461, 207699968, 125530112, 121889944, 5533766
1726750731714, 2965653, 145104, 207699968, 125530112, 121896584, 5533777
1726750732720, 2965752, 145501, 207699968, 125530112, 121903224, 5533788
1726750733724, 2966628, 145544, 207699968, 125530112, 121909864, 5533799
1726750734729, 2967018, 145563, 207699968, 125530112, 121916504, 5533810
1726750735735, 2967466, 145585, 207699968, 125530112, 121923144, 5533821
1726750736739, 2967916, 145607, 207699968, 125530112, 121929784, 5533832
1726750737744, 2968338, 145628, 207699968, 125530112, 121936424, 5533843
1726750738750, 2969023, 145661, 207699968, 125530112, 121943064, 5533854
1726750739754, 2970364, 145677, 207699968, 125530112, 121949728, 5533865
1726750740760, 2970817, 145699, 207699968, 125530112, 121956368, 5533876
1726750741765, 2971720, 145701, 207699968, 125530112, 121963008, 5533887
1726750742769, 2973150, 145701, 207699968, 125530112, 121969648, 5533898
1726750743775, 2973544, 145701, 207699968, 125530112, 121976264, 5533909
1726750744779, 2974238, 145701, 207699968, 125530112, 121982880, 5533920
1726750745785, 2975794, 145701, 207699968, 125530112, 121989496, 5533931
1726750746790, 2976611, 145729, 207699968, 125530112, 121996112, 5533942
1726750747794, 2977451, 145771, 207699968, 125530112, 122002752, 5533953
1726750748800, 2977912, 145793, 207699968, 125530112, 122009392, 5533964
1726750749806, 2978806, 145796, 207699968, 125530112, 122016032, 5533975
1726750750810, 2979800, 145796, 207699968, 125530112, 122022672, 5533986
1726750751815, 2980215, 145805, 207699968, 125530112, 122029288, 5533997
1726750752820, 2980757, 145831, 207699968, 125530112, 122035928, 5534008
1726750753825, 2981298, 145858, 207699968, 125530112, 122042568, 5534019
1726750754830, 2981728, 145879, 207699968, 125530112, 122049208, 5534030
1726750755836, 2982349, 145909, 207699968, 125530112, 122055848, 5534041
1726750756841, 2983543, 145967, 207699968, 125530112, 122062488, 5534052
1726750757846, 2984031, 145969, 207699968, 125530112, 122069128, 5534063
1726750758852, 2985141, 145969, 207699968, 125530112, 122075768, 5534074
1726750759856, 2985430, 146943, 207699968, 125530112, 122082384, 5534085
1726750760860, 2985888, 146965, 207699968, 125530112, 122089024, 5534096
1726750761864, 2986963, 146970, 207699968, 125530112, 122095664, 5534107
1726750762870, 2987483, 146993, 207699968, 125530112, 122102304, 5534118
1726750763875, 2988373, 146995, 207699968, 125530112, 122108968, 5534129
1726750764880, 2988845, 147009, 207699968, 125530112, 122115608, 5534140
1726750765885, 2989276, 147030, 207699968, 125530112, 122122248, 5534151
1726750766890, 2989983, 147065, 207699968, 125530112, 122128888, 5534162
1726750767895, 2990959, 147068, 207699968, 125530112, 122135552, 5534173
1726750768901, 2992008, 147114, 207699968, 125530112, 122142192, 5534184
1726750769905, 2992290, 148112, 207699968, 125530112, 122148888, 5534195
1726750770911, 2992778, 148136, 207699968, 125530112, 122155528, 5534206
1726750771915, 2993638, 148179, 207699968, 125530112, 122162168, 5534217
1726750772920, 2994185, 148206, 207699968, 125530112, 122168808, 5534228
1726750773925, 2994669, 148230, 207699968, 125530112, 122175448, 5534239
1726750774931, 2995214, 148257, 207699968, 125530112, 122182088, 5534250
1726750775935, 2996358, 148267, 207699968, 125530112, 122188728, 5534261
1726750776940, 2996791, 148284, 207699968, 125530112, 122195392, 5534272
1726750777945, 2997612, 148286, 207699968, 125530112, 122202032, 5534283
1726750778951, 2998193, 148302, 207699968, 125530112, 122208672, 5534294
1726750779956, 3002730, 148304, 207699968, 125530112, 122215584, 5534305
1726750780959, 3003846, 148325, 207699968, 125530112, 122222088, 5534316
1726750781964, 3004716, 148368, 207699968, 125530112, 122228592, 5534327
1726750782969, 3005717, 148371, 207699968, 125530112, 122235096, 5534338
1726750783974, 3006957, 148376, 207699968, 125530112, 122241600, 5534349
1726750784979, 3008220, 148438, 207699968, 125530112, 122248104, 5534360
1726750785981, 3008300, 149399, 207699968, 125530112, 122254608, 5534371
1726750786987, 3008697, 149448, 207699968, 125530112, 122261112, 5534382
1726750787992, 3009845, 149454, 207699968, 125530112, 122267616, 5534393
1726750788992, 3010722, 149497, 207699968, 125530112, 122274120, 5534404
1726750789997, 3010815, 150540, 207699968, 125530112, 122280624, 5534415
1726750791002, 3010888, 151530, 207699968, 125530112, 122287128, 5534426
1726750792007, 3011820, 151577, 207699968, 125530112, 122293632, 5534437
1726750793012, 3012600, 151616, 207699968, 125530112, 122300136, 5534448
1726750794017, 3014030, 151636, 207699968, 125530112, 122306640, 5534459
1726750795022, 3016185, 151692, 206741504, 125530112, 121395704, 5532930
1726750796027, 3016245, 152537, 206741504, 125530112, 121402240, 5532941
1726750797032, 3017380, 152735, 206741504, 125530112, 121408720, 5532952
1726750798038, 3018356, 152735, 206741504, 125530112, 121415200, 5532963
1726750799043, 3019347, 152735, 206741504, 125530112, 121421656, 5532974
1726750800049, 3020486, 152739, 206741504, 125530112, 121428112, 5532985
1726750801053, 3021812, 152753, 206741504, 125530112, 121434592, 5532996
1726750802058, 3022753, 152756, 206741504, 125530112, 121441072, 5533007
1726750803063, 3023790, 152800, 206741504, 125530112, 121447552, 5533018
1726750804068, 3024728, 152803, 206741504, 125530112, 121454032, 5533029
1726750805070, 3026119, 152813, 206741504, 125530112, 121460512, 5533040
1726750806074, 3027023, 152858, 206741504, 125530112, 121466992, 5533051
1726750807080, 3027502, 152883, 206741504, 125530112, 121473472, 5533062
1726750808085, 3027548, 153621, 206872576, 125530112, 121479952, 5533073
1726750809090, 3028098, 153900, 206872576, 125530112, 121486464, 5533084
1726750810095, 3032521, 153913, 206872576, 125530112, 121493136, 5533095
1726750811101, 3033770, 153924, 206872576, 125530112, 121498904, 5533106
1726750812106, 3035011, 153934, 206872576, 125530112, 121504672, 5533117
1726750813111, 3036390, 153951, 206872576, 125530112, 121510440, 5533128
1726750814116, 3037479, 154007, 206872576, 125530112, 121516208, 5533139
1726750815121, 3038606, 154064, 206872576, 125530112, 121521976, 5533150
1726750816126, 3041469, 154072, 206872576, 125530112, 121527856, 5533161
1726750817131, 3041802, 155055, 206872576, 125530112, 121533624, 5533172
1726750818136, 3043295, 155079, 206872576, 125530112, 121539392, 5533183
1726750819141, 3043630, 156137, 206872576, 125530112, 121545160, 5533194
1726750820146, 3043697, 156871, 206872576, 125530112, 121550928, 5533205
1726750821151, 3044401, 157217, 206872576, 125530112, 121556696, 5533216
1726750822156, 3045291, 157220, 206872576, 125530112, 121562464, 5533227
1726750823161, 3046251, 157259, 206872576, 125530112, 121568232, 5533238
1726750824166, 3046829, 157289, 206872576, 125530112, 121574000, 5533249
1726750825171, 3047742, 157293, 206872576, 125530112, 121579768, 5533260
1726750826176, 3049010, 157348, 206872576, 125530112, 121585536, 5533271
1726750827181, 3049133, 158385, 206872576, 125530112, 121591304, 5533282
1726750828185, 3050442, 158410, 206872576, 125530112, 121597072, 5533293
1726750829191, 3051355, 158411, 206872576, 125530112, 121602840, 5533304
1726750830196, 3052277, 158451, 206872576, 125530112, 121608608, 5533315
1726750831200, 3053252, 158456, 206872576, 125530112, 121614376, 5533326
1726750832206, 3054042, 158489, 206872576, 125530112, 121620144, 5533337
1726750833211, 3055253, 158497, 206872576, 125530112, 121625912, 5533348
1726750834216, 3055808, 158526, 206872576, 125530112, 121631680, 5533359
1726750835221, 3056405, 158557, 206872576, 125530112, 121637448, 5533370
1726750836226, 3057456, 158562, 206872576, 125530112, 121643224, 5533381
1726750837231, 3058622, 158618, 206872576, 125530112, 121648992, 5533392
1726750838236, 3059047, 159684, 206872576, 125530112, 121654760, 5533403
1726750839240, 3059878, 159687, 206872576, 125530112, 121660528, 5533414
1726750840246, 3060419, 159701, 206872576, 125530112, 121666296, 5533425
1726750841251, 3061406, 159752, 206872576, 125530112, 121672064, 5533436
1726750842255, 3062286, 159798, 206872576, 125530112, 121677832, 5533447
1726750843261, 3062923, 159831, 206872576, 125530112, 121683600, 5533458
1726750844266, 3064216, 159843, 206872576, 125530112, 121689368, 5533469
1726750845271, 3065073, 159843, 206872576, 125530112, 121695136, 5533480
1726750846276, 3066258, 159843, 206872576, 125530112, 121700880, 5533491
1726750847281, 3068773, 160854, 206872576, 125530112, 121706848, 5533502
1726750848286, 3069759, 160906, 206872576, 125530112, 121712616, 5533513
1726750849287, 3070004, 161853, 206872576, 125530112, 121718384, 5533524
1726750850292, 3070960, 161857, 206872576, 125530112, 121724152, 5533535
