Clients,Iteration,Add_Event_Mean,Add_Event_SD,Fetch_Event_Mean,Fetch_Event_SD,Fetch_Event_Sum,Preprocess_Mean,Preprocess_SD,Preprocess_Sum,First_Event_Latency_ms,RSP_Processing_Mean_ms,RSP_Processing_SD_ms,RSP_Processing_Sum_ms,RSP_Processing_Min_ms,RSP_Processing_Max_ms,RSP_Processing_Count
6,5,3.35,2.31,118.14,271.15,252115.00,0.34,0.54,718.00,478081.00,35.13,18.92,281.00,10.00,65.00,8
6,6,3.56,3.81,109.15,244.51,232817.00,0.33,0.52,694.00,401449.00,39.40,19.84,394.00,8.00,79.00,10
6,7,5.71,7.95,102.41,231.35,218635.00,0.34,0.49,719.00,115497.00,35.71,20.33,250.00,12.00,74.00,7
6,8,3.28,2.59,102.69,232.43,219246.00,0.35,0.54,747.00,486062.00,45.00,20.05,270.00,18.00,76.00,6
6,9,3.37,2.63,93.64,200.88,199631.00,0.37,0.54,784.00,480822.00,52.50,28.05,315.00,14.00,91.00,6
6,10,3.65,3.34,104.29,235.16,222562.00,0.32,0.52,688.00,426790.00,39.88,25.44,319.00,10.00,91.00,8
6,11,3.46,3.02,110.52,272.99,235746.00,0.35,0.54,741.00,431693.00,32.10,20.89,321.00,8.00,63.00,10
6,12,3.93,4.74,135.91,320.82,290168.00,0.33,0.50,706.00,321819.00,41.57,21.86,291.00,16.00,72.00,7
6,13,3.87,4.53,113.07,278.43,241400.00,0.33,0.49,711.00,396690.00,43.29,19.44,303.00,14.00,72.00,7
6,14,3.50,2.58,103.20,235.49,220337.00,0.35,0.53,739.00,476770.00,41.50,17.92,332.00,21.00,66.00,8
6,15,3.57,4.23,100.11,240.86,213537.00,0.33,0.54,706.00,446685.00,36.69,33.15,477.00,7.00,137.00,13
6,16,3.53,2.56,98.79,230.13,210722.00,0.35,0.51,744.00,480153.00,37.33,18.46,224.00,9.00,57.00,6
6,17,3.64,3.15,96.82,203.48,206415.00,0.35,0.53,749.00,482489.00,63.20,28.28,316.00,16.00,99.00,5
6,18,3.62,3.46,106.04,251.98,226176.00,0.35,0.52,746.00,448979.00,39.20,25.11,392.00,10.00,97.00,10
6,19,3.66,3.37,99.50,225.96,212139.00,0.34,0.52,729.00,423379.00,32.82,23.10,361.00,9.00,86.00,11
6,20,3.47,2.58,106.10,259.82,226301.00,0.35,0.52,739.00,471671.00,36.83,21.27,221.00,22.00,82.00,6
6,21,3.38,2.82,103.17,252.58,220065.00,0.36,0.54,777.00,503340.00,53.14,20.96,372.00,27.00,88.00,7
6,22,3.65,3.66,102.16,225.71,217912.00,0.37,0.55,791.00,429091.00,42.18,24.59,464.00,7.00,87.00,11
6,23,3.50,3.10,111.12,255.45,237251.00,0.35,0.54,749.00,462342.00,50.78,30.77,457.00,12.00,109.00,9
6,24,8.26,11.94,93.97,197.23,200431.00,0.30,0.49,648.00,79450.00,30.55,20.29,336.00,12.00,73.00,11
6,25,3.37,2.84,107.78,253.39,229996.00,0.35,0.54,753.00,484643.00,53.00,22.27,318.00,22.00,84.00,6
6,26,3.46,2.91,103.56,254.39,220993.00,0.33,0.52,701.00,482763.00,40.63,23.78,325.00,14.00,80.00,8
6,27,3.57,2.70,98.63,230.97,210370.00,0.34,0.52,728.00,478906.00,39.14,21.10,274.00,13.00,72.00,7
6,28,3.49,2.45,112.15,284.07,239220.00,0.34,0.53,725.00,469899.00,31.33,18.58,282.00,9.00,69.00,9
6,29,3.39,2.94,97.21,215.71,207245.00,0.36,0.55,771.00,488615.00,63.20,9.00,316.00,49.00,75.00,5
